system:index,date,.geo
20220416T071844_20220416T080904,2022-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416T072344_20220416T081423,2022-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416T085844_20220416T094628,2022-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416T090344_20220416T095555,2022-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417T070344_20220417T075550,2022-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417T084344_20220417T093821,2022-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418T082344_20220418T091419,2022-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419T080344_20220419T084859,2022-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419T080844_20220419T085821,2022-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420T074344_20220420T083328,2022-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420T074844_20220420T083954,2022-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421T072256_20220421T081700,2022-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421T072756_20220421T082219,2022-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421T090756_20220421T100349,2022-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T070756_20220422T075451,2022-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T084756_20220422T093750,2022-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T085256_20220422T094355,2022-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423T065256_20220423T074252,2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423T082756_20220423T091552,2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423T083256_20220423T092523,2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424T080756_20220424T085951,2022-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424T081256_20220424T090454,2022-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220425T075256_20220425T084524,2022-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426T073256_20220426T082119,2022-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T071256_20220427T080000,2022-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T071756_20220427T080754,2022-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T085256_20220427T094026,2022-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427T085756_20220427T095022,2022-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428T065756_20220428T074653,2022-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428T083256_20220428T092327,2022-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428T083756_20220428T093147,2022-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220429T081756_20220429T091421,2022-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430T075756_20220430T084726,2022-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501T073756_20220501T082627,2022-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501T074256_20220501T083222,2022-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502T071756_20220502T081151,2022-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502T072256_20220502T081621,2022-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502T085756_20220502T094650,2022-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502T090256_20220502T095352,2022-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503T070256_20220503T075623,2022-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503T084256_20220503T093821,2022-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505T080450_20220505T084427,2022-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506T074450_20220506T082522,2022-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506T074950_20220506T082659,2022-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507T072450_20220507T080559,2022-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507T072950_20220507T080722,2022-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507T090450_20220507T095018,2022-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508T070732_20220508T074752,2022-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508T084732_20220508T092921,2022-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508T085232_20220508T093147,2022-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509T065232_20220509T073140,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509T082732_20220509T091042,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509T083232_20220509T091149,2022-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220510T080732_20220510T085249,2022-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220510T081232_20220510T085324,2022-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220511T075126_20220511T083356,2022-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512T073140_20220512T081246,2022-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512T073640_20220512T081325,2022-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512T091140_20220512T095522,2022-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513T071428_20220513T075251,2022-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513T085428_20220513T094219,2022-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513T085928_20220513T094325,2022-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514T065628_20220514T074116,2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514T083628_20220514T091951,2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T081628_20220515T085621,2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515T082128_20220515T085941,2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220516T075628_20220516T083746,2022-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
